ID,Name,Concepticon_ID,Concepticon_Gloss,Core_list,Semantic_category,Semantic_field,Borrowed_score,Age_score,Simplicity_score
9-89,to paint,2001,PAINTING,yes,Verb,Basic actions and technology,0.334608030593,0.797323135755,0.779158699809
10-11,to move,765,MOVE,yes,Verb,Motion,0.281914893617,0.810638297872,0.792553191489
10-12,to turn,,,yes,Verb,Motion,0.148288973384,0.819011406844,0.757604562738
10-13,to turn around,1444,TURN AROUND,yes,Verb,Motion,0.0962837837838,0.761148648649,0.690878378378
10-14,to wrap,1113,WRAP,yes,Verb,Motion,0.114583333333,0.830208333333,0.893229166667
10-15,to roll,827,ROLL,yes,Verb,Motion,0.187125748503,0.80995508982,0.800711077844
10-16,to drop,2866,DROP (SOMETHING),yes,Verb,Motion,0.0404131118096,0.81679389313,0.676695105523
10-17,to twist,3199,TWIST (AROUND),yes,Verb,Motion,0.157894736842,0.798947368421,0.883157894737
10-21,to rise,568,RISE (MOVE UPWARDS),yes,Verb,Motion,0.0111234705228,0.832777159807,0.758991472006
10-22,to raise or lift,501,LIFT,yes,Verb,Motion,0.0868167202572,0.827331189711,0.787781350482
10-23,to fall,1280,FALL,yes,Verb,Motion,0.0541516245487,0.858122743682,0.902527075812
10-24,to drip,2253,DRIP (EMIT LIQUID),yes,Verb,Motion,0.0581395348837,0.838372093023,0.808139534884
10-25,to throw,1456,THROW,yes,Verb,Motion,0.0402985074627,0.829253731343,0.917164179104
10-252,to catch,702,CATCH,yes,Verb,Motion,0.158069883527,0.83749306711,0.873821408763
10-26,to shake,1909,SHAKE,yes,Verb,Motion,0.172413793103,0.821551724138,0.853448275862
10-32,to flow,2003,FLOW,yes,Verb,Motion,0.041958041958,0.848951048951,0.839160839161
10-33,to sink,1088,SINK (DESCEND),yes,Verb,Motion,0.100371747212,0.863197026022,0.799256505576
10-34,to float,1574,FLOAT,yes,Verb,Motion,0.0504484304933,0.804932735426,0.808295964126
10-35,to swim,1439,SWIM,yes,Verb,Motion,0.103346456693,0.833464566929,0.825787401575
10-351,to dive,119,DIVE,yes,Verb,Motion,0.15690376569,0.764435146444,0.811715481172
10-352,to splash,365,SPLASH,yes,Verb,Motion,0.121134020619,0.810309278351,0.773195876289
10-36,to sail,787,SAIL,yes,Verb,Motion,0.147058823529,0.823529411765,0.612299465241
10-37,to fly,1441,FLY (MOVE THROUGH AIR),yes,Verb,Motion,0.13114071607,0.847626977519,0.912572855953
10-38,to blow,175,BLOW (OF WIND),yes,Verb,Motion,0.0377906976744,0.813953488372,0.877906976744
10-41,to crawl,3456,CRAWL OR CREEP,yes,Verb,Motion,0.1125,0.8175,0.8375
10-412,to kneel,66,KNEEL,yes,Verb,Motion,0.0670731707317,0.831707317073,0.658536585366
10-413,to crouch,296,CROUCH,yes,Verb,Motion,0.215909090909,0.768181818182,0.806818181818
10-42,to slide or slip,1324,SLIP,yes,Verb,Motion,0.11214953271,0.828971962617,0.883177570093
10-43,to jump,1829,JUMP,yes,Verb,Motion,0.0639344262295,0.834754098361,0.881967213115
10-431,to kick,1135,KICK,yes,Verb,Motion,0.139805825243,0.828737864078,0.854368932039
10-44,to dance,1879,DANCE,yes,Verb,Motion,0.285714285714,0.798979591837,0.836734693878
10-45,to walk,1443,WALK,yes,Verb,Motion,0.0882352941176,0.812903225806,0.818785578748
10-451,to limp,366,LIMP,yes,Verb,Motion,0.17032967033,0.807692307692,0.758241758242
10-46,to run,1519,RUN,yes,Verb,Motion,0.0241935483871,0.852016129032,0.866935483871
10-47,to go,695,GO,yes,Verb,Motion,0.0370786516854,0.91595505618,0.974157303371
10-471,to go up,705,GO UP (ASCEND),yes,Verb,Motion,0.113764044944,0.826404494382,0.752808988764
10-472,to climb,1102,CLIMB,yes,Verb,Motion,0.0463483146067,0.816853932584,0.837078651685
10-473,to go down,2014,GO DOWN (DESCEND),yes,Verb,Motion,0.121621621622,0.792664092664,0.785714285714
