ID,Target_Form_ID,Source_Form_ID,Comment,Source,Source_relation,Source_word,Source_meaning,Source_certain,Source_languoid,Source_languoid_glottocode
14454,Indonesian-22-47-1,,,,earlier,‘alāmat-,"mark, sign, token",yes,Arabic,stan1318
14455,Indonesian-23-1-1,,,,earlier,radio,the radio,yes,English,stan1293
14456,Indonesian-23-12-1,,,,earlier,téléphone,telephone,yes,French,stan1290
14457,Indonesian-23-14-1,,,,earlier,automobile,car,yes,English,stan1293
14458,Indonesian-23-15-1,,,,earlier,bus,bus,yes,English,stan1293
14459,Indonesian-23-17-1,,,,earlier,electricity,electricity,yes,English,stan1293
14460,Indonesian-23-175-1,,,,earlier,batterie,battery,yes,French,stan1290
14461,Indonesian-23-22-1,,,,earlier,pillula,pill,yes,Latin,
14462,Indonesian-23-31-1,,,,earlier,président,president,yes,French,stan1290
14463,Indonesian-23-32-1,,,,earlier,mantri(n),counsellor,yes,Sanskrit,sans1269
14464,Indonesian-23-33-1,,,,earlier,police,"city guardians, police",yes,French,stan1290
14465,Indonesian-23-4-1,,,,earlier,poste,post/mail,yes,French,stan1290
14466,Indonesian-23-44-1,,,,earlier,banco,bank,yes,Italian,ital1282
14467,Indonesian-23-54-1,,,,earlier,calaim,tin,yes,Indo-Portuguese,indo1318
14468,Indonesian-23-55-1,,,,earlier,escroue,screw,yes,Old French,
14469,Indonesian-23-56-1,,,,earlier,boteille,bottle,yes,Old French,
14470,Indonesian-23-57-1,,,,earlier,plastikos,moulded,yes,Greek,mode1248
14471,Indonesian-23-6-1,,,,earlier,xabar,news,yes,Arabic,stan1318
14472,Indonesian-23-385-1,,,,earlier,‘alāmat-,"mark, sign, token",yes,Arabic,stan1318
14473,Indonesian-23-36-1,,,,earlier,acte,certificate,yes,French,stan1290
14474,Indonesian-23-19-1,,,,earlier,mēxanē,"instrument, machine",yes,Greek,mode1248
14475,Indonesian-23-185-1,,,,earlier,mēxanē,"instrument, machine",yes,Greek,mode1248
14476,Indonesian-23-43-1,,,,earlier,kaart,card,yes,Dutch,dutc1256
14477,Indonesian-24-13-1,,,,earlier,sama,"same, equal, similar, like,constant, unchanged, always the same",yes,Sanskrit,sans1269
14478,Indonesian-4-493-1,,,,earlier,vagina,vagina,yes,Latin,
14479,Indonesian-23-91-1,,,,earlier,qahwa,"‘coffee’, originally ‘hot’ (of water)",yes,Arabic,stan1318
14480,Indonesian-8-29-1,,,,earlier,lazo,lasso,yes,Spanish,stan1288
14481,Indonesian-22-5-1,,,,earlier,sunnat-,habitual practice,yes,Arabic,stan1318
14482,Indonesian-3-99-1,,,,earlier,tapyra,tapir,yes,Tupí,
14483,Indonesian-7-65-1,,,,earlier,camp,camp,yes,French (Picard),pica1241
14484,Indonesian-3-597-1,,,,earlier,cormaran,cormorant,yes,Old French,
14485,Indonesian-9-87-1,,Source word unidentifiable,,earlier,,boomerang,yes,Dharuk,
14486,Indonesian-3-88-1,,,,earlier,gaŋurru,"large black kangaroo, a specific type of kangaroo from Northern Queensland",yes,Guugu Yimidhirr,gugu1255
14487,Indonesian-3-598-1,,,,earlier,tucana,toucan,yes,Tupí,
14488,Indonesian-3-9-1,,,,earlier,yaguára,jaguar,yes,Tupi-Guaraní,
14489,Indonesian-1-411-1,,,,earlier,zavana,savanna,yes,Taino,tain1254
14490,Indonesian-22-131-1,,,,earlier,igreja,church,yes,Portuguese,port1283
